Ref,Val,Package,PosX,PosY,Rot,Side
"REF**","NPTH","NPTH",74.760556,-121.936432,0.000000,top
"REF**","NPTH","NPTH",53.237133,-85.891000,0.000000,top
"REF**","NPTH","NPTH",116.584732,-84.389000,0.000000,top
"REF**","NPTH","NPTH",54.903799,-62.461000,0.000000,top
"REF**","NPTH","NPTH",114.084732,-109.311000,0.000000,top
"REF**","NPTH","NPTH",86.328600,-107.809000,0.000000,top
"REF**","NPTH","NPTH",33.621933,-85.891000,0.000000,top
"REF**","NPTH","NPTH",66.378066,-84.389000,0.000000,top
"REF**","NPTH","NPTH",87.161933,-60.959000,0.000000,top
"REF**","NPTH","NPTH",87.995267,-109.311000,0.000000,top
"REF**","NPTH","NPTH",104.277133,-85.891000,0.000000,top
"REF**","NPTH","NPTH",84.661933,-107.809000,0.000000,top
"REF**","NPTH","NPTH",74.758999,-49.999766,0.000000,top
"REF**","NPTH","NPTH",87.995267,-84.389000,0.000000,top
"REF**","NPTH","NPTH",85.495267,-109.311000,0.000000,top
"REF**","NPTH","NPTH",74.758221,-119.436433,0.000000,top
"REF**","NPTH","NPTH",85.495267,-60.959000,0.000000,top
"REF**","NPTH","NPTH",107.610466,-107.809000,0.000000,top
"REF**","NPTH","NPTH",63.878066,-60.959000,0.000000,top
"REF**","NPTH","NPTH",35.288600,-109.311000,0.000000,top
"REF**","NPTH","NPTH",45.929533,-60.959000,0.000000,top
"REF**","NPTH","NPTH",74.757444,-71.758100,0.000000,top
"REF**","NPTH","NPTH",105.943799,-60.959000,0.000000,top
"REF**","NPTH","NPTH",97.802866,-84.389000,0.000000,top
"REF**","NPTH","NPTH",76.281000,-50.000233,0.000000,top
"REF**","NPTH","NPTH",34.455267,-84.389000,0.000000,top
"REF**","NPTH","NPTH",46.762866,-60.959000,0.000000,top
"REF**","NPTH","NPTH",94.469533,-60.959000,0.000000,top
"REF**","NPTH","NPTH",55.737133,-107.809000,0.000000,top
"REF**","NPTH","NPTH",33.621933,-62.461000,0.000000,top
"REF**","NPTH","NPTH",105.943799,-84.389000,0.000000,top
"REF**","NPTH","NPTH",55.737133,-85.891000,0.000000,top
"REF**","NPTH","NPTH",94.469533,-85.891000,0.000000,top
"REF**","NPTH","NPTH",96.969533,-62.461000,0.000000,top
"REF**","NPTH","NPTH",76.279444,-71.758566,0.000000,top
"REF**","NPTH","NPTH",84.661933,-60.959000,0.000000,top
"REF**","NPTH","NPTH",65.544732,-107.809000,0.000000,top
"REF**","NPTH","NPTH",45.096200,-109.311000,0.000000,top
"REF**","NPTH","NPTH",63.044732,-62.461000,0.000000,top
"REF**","NPTH","NPTH",46.762866,-109.311000,0.000000,top
"REF**","NPTH","NPTH",45.096200,-84.389000,0.000000,top
"REF**","NPTH","NPTH",43.429533,-60.959000,0.000000,top
"REF**","NPTH","NPTH",54.903799,-84.389000,0.000000,top
"REF**","NPTH","NPTH",114.084732,-62.461000,0.000000,top
"REF**","NPTH","NPTH",35.288600,-60.959000,0.000000,top
"REF**","NPTH","NPTH",95.302866,-62.461000,0.000000,top
"REF**","NPTH","NPTH",115.751399,-85.891000,0.000000,top
"REF**","NPTH","NPTH",64.711399,-107.809000,0.000000,top
"REF**","NPTH","NPTH",114.084732,-60.959000,0.000000,top
"REF**","NPTH","NPTH",87.995267,-60.959000,0.000000,top
"REF**","NPTH","NPTH",54.070466,-60.959000,0.000000,top
"REF**","NPTH","NPTH",34.455267,-109.311000,0.000000,top
"REF**","NPTH","NPTH",114.918066,-84.389000,0.000000,top
"REF**","NPTH","NPTH",117.418066,-109.311000,0.000000,top
"REF**","NPTH","NPTH",43.429533,-84.389000,0.000000,top
"REF**","NPTH","NPTH",63.878066,-84.389000,0.000000,top
"REF**","NPTH","NPTH",105.110466,-60.959000,0.000000,top
"REF**","NPTH","NPTH",36.955267,-109.311000,0.000000,top
"U1","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",119.817502,-68.517402,90.000000,top
"U1","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",68.776499,-68.517402,90.000000,top
"U1","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",119.817502,-115.365408,90.000000,top
"U1","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",119.817502,-91.941405,90.000000,top
"U1","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",68.776499,-91.941405,90.000000,top
"U1","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",68.776499,-45.093399,90.000000,top
"U1","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",119.817502,-45.093399,90.000000,top
"U1","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",68.776499,-115.365408,90.000000,top
"U6","ESP-12F","ESP-12E",97.668702,-102.711005,180.000000,top
"U6","ESP-12F","ESP-12E",46.627699,-55.862999,180.000000,top
"U6","ESP-12F","ESP-12E",97.668702,-126.135008,180.000000,top
"U6","ESP-12F","ESP-12E",46.627699,-102.711005,180.000000,top
"U6","ESP-12F","ESP-12E",46.627699,-126.135008,180.000000,top
"U6","ESP-12F","ESP-12E",46.627699,-79.287002,180.000000,top
"U6","ESP-12F","ESP-12E",97.668702,-79.287002,180.000000,top
"U6","ESP-12F","ESP-12E",97.668702,-55.862999,180.000000,top
